id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,24000,24000,24000.0, 36 months, 13.53%,814.8,B,B5,driver,10+ years,MORTGAGE,100000.0,Verified,Dec-2013,Fully Paid,n,,  Borrower added on 12/31/13 > pay off my other lending club loan and other credit cards<br>,credit_card,credit card,493xx,MI,22.18,0,Jan-1989,0,,,14,0,21617,76.7%,39,w,0.0,0.0,28652.21,28652.21,24000.0,4652.21,0.0,0.0,0.0,Dec-2015,10726.61,,Dec-2017,0,,1,Individual,,,,0,539.0,199834.0,,,,,,,,,,,,28200.0,,,,7.0,15372.0,4822.0,77.6,0,0,179.0,299.0,18.0,7.0,3.0,18.0,,7.0,,0.0,3.0,5.0,5.0,10.0,17.0,8.0,19.0,5.0,14.0,0.0,0.0,0.0,2.0,100.0,75.0,0,0,229072.0,61397.0,21500.0,58847.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000.0, 36 months, 13.53%,407.4,B,B5,On road manager,10+ years,RENT,40000.0,Source Verified,Dec-2013,Fully Paid,n,,,debt_consolidation,Debt consolidation,871xx,NM,16.94,0,Oct-1998,0,53.0,33.0,7,2,5572,68.8%,32,w,0.0,0.0,13359.7768575,13359.78,12000.0,1359.78,0.0,0.0,0.0,Sep-2015,119.17,,Jul-2017,0,53.0,1,Individual,,,,0,15386.0,13605.0,,,,,,,,,,,,8100.0,,,,4.0,2268.0,1428.0,79.6,0,0,124.0,182.0,1.0,1.0,0.0,11.0,53.0,17.0,53.0,6.0,2.0,2.0,3.0,14.0,8.0,6.0,24.0,2.0,7.0,0.0,0.0,0.0,2.0,81.2,33.3,0,0,18130.0,13605.0,7000.0,10030.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,11500,11500,11500.0, 60 months, 22.90%,323.54,E,E4,Secretary,4 years,RENT,32760.0,Verified,Dec-2013,Fully Paid,n,,"  Borrower added on 12/31/13 > This loan is for debt consolidation - to close credit cards, pay off other debt, finally make a dent in my total debt amount. I already have plans to close all but 2 of my credit cards, and to pay a collection I didn't know about. I want my credit clean with one easy payment.<br>",debt_consolidation,Debt Killer,937xx,CA,27.06,0,Mar-1999,0,,,12,0,9996,70.9%,17,f,0.0,0.0,18786.2502569,18786.25,11500.0,7286.25,0.0,0.0,0.0,Sep-2017,4874.03,,Dec-2017,0,,1,Individual,,,,0,92.0,24724.0,,,,,,,,,,,,14100.0,,,,9.0,2060.0,2689.0,70.1,0,0,34.0,177.0,14.0,1.0,0.0,20.0,,14.0,,0.0,5.0,8.0,6.0,7.0,4.0,10.0,13.0,8.0,12.0,0.0,0.0,0.0,2.0,100.0,50.0,0,0,30891.0,24724.0,9000.0,16791.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,28000,28000,28000.0, 36 months,  7.62%,872.52,A,A3,Area Sales Manager,5 years,MORTGAGE,325000.0,Source Verified,Dec-2013,Fully Paid,n,,,debt_consolidation,Pay off other Installment loan,945xx,CA,18.55,0,Nov-1994,1,,,15,0,29581,54.6%,31,w,0.0,0.0,29150.98,29150.98,28000.0,1150.98,0.0,0.0,0.0,Aug-2014,23915.86,,Aug-2014,0,,1,Individual,,,,0,0.0,799592.0,,,,,,,,,,,,54200.0,,,,6.0,53306.0,13901.0,67.1,0,0,125.0,229.0,5.0,2.0,5.0,5.0,,3.0,,0.0,4.0,5.0,6.0,8.0,11.0,9.0,15.0,5.0,15.0,0.0,0.0,0.0,5.0,100.0,16.7,0,0,850886.0,199739.0,42200.0,196686.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000.0, 36 months, 11.99%,398.52,B,B3,LTC,10+ years,MORTGAGE,130000.0,Source Verified,Dec-2013,Fully Paid,n,,,debt_consolidation,Debt consolidation,809xx,CO,13.03,0,Nov-1997,1,,,9,0,10805,67%,19,f,0.0,0.0,14346.4790497,14346.48,12000.0,2346.48,0.0,0.0,0.0,Jan-2017,398.28,,Dec-2017,0,,1,Individual,,,,0,0.0,327264.0,,,,,,,,,,,,16200.0,,,,4.0,36362.0,3567.0,93.0,0,0,173.0,193.0,4.0,4.0,3.0,85.0,,4.0,,0.0,3.0,5.0,4.0,4.0,8.0,5.0,8.0,5.0,9.0,,0.0,0.0,3.0,100.0,1.0,0,0,365874.0,44327.0,10700.0,57674.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000.0, 36 months, 10.99%,392.81,B,B2,Project Manager,4 years,RENT,60000.0,Not Verified,Dec-2013,Fully Paid,n,,  Borrower added on 12/31/13 > I would like to use this money to payoff existing credit card debt and use the remaining about to purchase a used car that is fuel efficient.<br>,debt_consolidation,No Regrets,281xx,NC,4.62,0,Dec-2009,1,,,15,0,7137,24%,18,f,0.0,0.0,13988.6099956,13988.61,12000.0,1988.61,0.0,0.0,0.0,Apr-2016,3775.55,,Dec-2017,0,,1,Individual,,,,0,0.0,7137.0,,,,,,,,,,,,29700.0,,,,8.0,476.0,15216.0,15.9,0,0,,48.0,1.0,1.0,0.0,1.0,,3.0,,0.0,4.0,7.0,8.0,10.0,0.0,15.0,18.0,7.0,15.0,0.0,0.0,0.0,4.0,100.0,0.0,0,0,29700.0,7137.0,18100.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20800,20800,20800.0, 36 months, 13.53%,706.16,B,B5,Operations Manager,10+ years,RENT,81500.0,Verified,Dec-2013,Fully Paid,n,,  Borrower added on 12/31/13 > My goal is to purchase a home. I am consolidating my debt to lower interest rate to pay off debt faster. My goal is targeted for February 2015.<br>,debt_consolidation,Reducing Debt to Purchase Home,100xx,NY,16.73,0,Jun-1998,2,64.0,,29,0,23473,54.5%,41,f,0.0,0.0,23926.6400083,23926.64,20800.0,3126.64,0.0,0.0,0.0,May-2015,13334.93,,Dec-2017,0,71.0,1,Individual,,,,0,0.0,23473.0,,,,,,,,,,,,43100.0,,,,9.0,869.0,6811.0,54.6,0,0,115.0,186.0,0.0,0.0,0.0,0.0,70.0,0.0,70.0,1.0,8.0,24.0,11.0,17.0,1.0,29.0,40.0,24.0,29.0,0.0,0.0,0.0,3.0,90.2,50.0,0,0,43100.0,23473.0,15000.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000.0, 36 months,  9.67%,321.13,B,B1,Registered Nurse,7 years,MORTGAGE,102000.0,Not Verified,Dec-2013,Fully Paid,n,,,debt_consolidation,Clean Up,027xx,MA,15.55,2,Oct-1989,0,11.0,,9,0,9912,44.4%,22,f,0.0,0.0,11560.4621847,11560.46,10000.0,1560.46,0.0,0.0,0.0,Jan-2017,320.91,,Dec-2016,0,54.0,1,Individual,,,,0,0.0,39143.0,,,,,,,,,,,,22300.0,,,,3.0,4349.0,973.0,89.4,0,0,243.0,290.0,23.0,8.0,0.0,25.0,11.0,8.0,11.0,1.0,3.0,4.0,3.0,6.0,9.0,6.0,13.0,4.0,9.0,0.0,0.0,0.0,1.0,77.3,66.7,0,0,58486.0,39143.0,9200.0,36186.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000.0, 36 months,  6.62%,368.45,A,A2,MANAGER INFORMATION DELIVERY,10+ years,MORTGAGE,105000.0,Not Verified,Dec-2013,Fully Paid,n,,,debt_consolidation,UNIVERSAL CARD,060xx,CT,14.05,0,Mar-1994,1,43.0,,12,0,13168,21.6%,22,w,0.0,0.0,13263.9546394,13263.95,12000.0,1263.95,0.0,0.0,0.0,Jan-2017,368.2,,Dec-2017,0,,1,Individual,,,,0,0.0,267646.0,,,,,,,,,,,,61100.0,,,,4.0,26765.0,39432.0,25.0,0,0,146.0,237.0,20.0,3.0,4.0,20.0,,3.0,43.0,0.0,2.0,2.0,5.0,5.0,9.0,8.0,9.0,2.0,12.0,0.0,0.0,0.0,2.0,95.5,0.0,0,0,333044.0,42603.0,52600.0,42769.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3000,3000,3000.0, 36 months, 12.85%,100.87,B,B4,Auditor,10+ years,RENT,25000.0,Verified,Dec-2013,Fully Paid,n,,,debt_consolidation,debt,322xx,FL,24.68,0,May-1991,0,58.0,53.0,5,2,2875,54.2%,26,f,0.0,0.0,3181.54890499,3181.55,3000.0,181.55,0.0,0.0,0.0,Jul-2014,2677.23,,Oct-2016,0,69.0,1,Individual,,,,0,154.0,19530.0,,,,,,,,,,,,5300.0,,,,3.0,3906.0,2050.0,52.3,0,0,164.0,271.0,7.0,7.0,6.0,14.0,69.0,8.0,69.0,1.0,2.0,3.0,3.0,6.0,11.0,4.0,9.0,3.0,5.0,0.0,0.0,0.0,1.0,91.3,66.7,2,0,32082.0,19530.0,4300.0,26782.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,14000,14000,14000.0, 36 months, 12.85%,470.71,B,B4,Assistant Director - Human Resources,4 years,RENT,88000.0,Not Verified,Dec-2013,Fully Paid,n,,,debt_consolidation,Debt consolidation,282xx,NC,10.02,1,Jun-1988,0,16.0,115.0,6,1,3686,81.9%,14,f,0.0,0.0,16945.3187828,16945.32,14000.0,2945.32,0.0,0.0,0.0,Jan-2017,470.47,,Dec-2017,0,,1,Individual,,,,0,0.0,17672.0,,,,,,,,,,,,4500.0,,,,3.0,2945.0,480.0,87.7,0,0,111.0,103.0,24.0,13.0,0.0,38.0,16.0,,16.0,0.0,3.0,4.0,3.0,9.0,3.0,4.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,78.6,100.0,1,0,31840.0,17672.0,3900.0,27340.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,17475,17475,17475.0, 60 months, 21.48%,477.49,E,E2,Probation Officer,10+ years,MORTGAGE,42494.0,Source Verified,Dec-2013,Current,n,,  Borrower added on 12/31/13 > to pay off outstanding credit card debt quicker than just making the minimum payment each month.<br>,debt_consolidation,Debt Loan,759xx,TX,22.99,0,Nov-1989,2,,,5,0,1370,91.3%,10,f,5496.76,5496.76,22556.9300907,22556.93,11978.24,10578.69,0.0,0.0,0.0,Dec-2017,477.49,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,57646.0,,,,,,,,,,,,1500.0,,,,2.0,11529.0,130.0,91.3,0,0,132.0,289.0,14.0,14.0,0.0,14.0,,1.0,,1.0,1.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,90.0,100.0,0,0,67796.0,57646.0,1500.0,66296.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10400,10400,10400.0, 60 months, 17.57%,261.67,D,D2,Information Systems Security Officer,2 years,RENT,105680.0,Source Verified,Dec-2013,Current,n,,,credit_card,credit card payoff,785xx,TX,18.51,0,Oct-1988,0,64.0,,17,0,18179,88.2%,41,w,3078.3,3078.3,12308.22,12308.22,7321.7,4986.52,0.0,0.0,0.0,Dec-2017,261.67,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,190867.0,,,,,,,,,,,,20600.0,,,,9.0,11227.0,507.0,94.7,0,0,144.0,302.0,5.0,5.0,2.0,12.0,,7.0,,0.0,8.0,13.0,8.0,17.0,16.0,13.0,23.0,13.0,17.0,0.0,0.0,0.0,5.0,100.0,100.0,0,0,213593.0,66793.0,9600.0,56993.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,20000,20000.0, 36 months, 13.98%,683.36,C,C1,Alarm Technician,10+ years,MORTGAGE,80000.0,Source Verified,Dec-2013,Fully Paid,n,,,debt_consolidation,Debt Consolidation,928xx,CA,16.7,1,Dec-2001,1,8.0,80.0,10,1,12948,45%,26,f,0.0,0.0,23492.16,23492.16,20000.0,3492.16,0.0,0.0,0.0,Aug-2015,11192.21,,Aug-2015,0,,1,Individual,,,,0,0.0,16852.0,,,,,,,,,,,,28800.0,,,,5.0,1685.0,3083.0,58.9,0,0,129.0,144.0,4.0,4.0,1.0,31.0,8.0,5.0,8.0,0.0,1.0,6.0,2.0,6.0,5.0,9.0,20.0,6.0,10.0,0.0,0.0,0.0,3.0,96.0,50.0,1,0,57891.0,16852.0,7500.0,29091.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
